iter,tr_rmse,va_rmse,obj,time
378,0.7874,0.9264,5.3532e+07,810.06
379,0.7874,0.9264,5.3531e+07,812.11
380,0.7874,0.9264,5.3531e+07,814.15
381,0.7874,0.9264,5.3531e+07,816.20
382,0.7873,0.9264,5.3531e+07,818.24
383,0.7873,0.9264,5.3531e+07,820.27
384,0.7873,0.9264,5.3531e+07,822.46
385,0.7873,0.9264,5.3529e+07,824.66
386,0.7873,0.9264,5.3530e+07,826.69
387,0.7873,0.9264,5.3530e+07,828.83
388,0.7873,0.9264,5.3529e+07,831.03
389,0.7872,0.9264,5.3529e+07,833.23
390,0.7872,0.9264,5.3528e+07,835.50
391,0.7872,0.9264,5.3528e+07,837.76
392,0.7872,0.9264,5.3528e+07,840.02
393,0.7872,0.9264,5.3528e+07,842.29
394,0.7872,0.9264,5.3528e+07,844.55
395,0.7872,0.9264,5.3527e+07,846.83
396,0.7871,0.9264,5.3527e+07,849.04
397,0.7871,0.9264,5.3527e+07,851.25
398,0.7871,0.9264,5.3527e+07,853.46
399,0.7871,0.9264,5.3527e+07,855.67
400,0.7871,0.9264,5.3526e+07,857.87
401,0.7871,0.9264,5.3526e+07,860.15
402,0.7871,0.9264,5.3526e+07,862.34
403,0.7870,0.9264,5.3526e+07,864.40
404,0.7870,0.9264,5.3525e+07,866.44
405,0.7870,0.9264,5.3525e+07,868.46
406,0.7870,0.9264,5.3525e+07,870.50
407,0.7870,0.9264,5.3525e+07,872.60
408,0.7870,0.9264,5.3524e+07,874.67
409,0.7870,0.9264,5.3524e+07,876.73
410,0.7870,0.9264,5.3524e+07,878.83
411,0.7869,0.9264,5.3524e+07,880.91
412,0.7869,0.9264,5.3524e+07,882.99
413,0.7869,0.9264,5.3524e+07,885.07
414,0.7869,0.9264,5.3523e+07,887.15
415,0.7869,0.9264,5.3523e+07,889.23
416,0.7869,0.9264,5.3523e+07,891.33
417,0.7869,0.9264,5.3523e+07,893.43
418,0.7869,0.9264,5.3522e+07,895.53
419,0.7869,0.9264,5.3522e+07,897.60
420,0.7868,0.9264,5.3522e+07,899.69
421,0.7868,0.9264,5.3522e+07,901.77
422,0.7868,0.9264,5.3522e+07,903.85
423,0.7868,0.9264,5.3521e+07,905.97
424,0.7868,0.9264,5.3521e+07,908.66
425,0.7868,0.9264,5.3521e+07,911.06
426,0.7868,0.9264,5.3521e+07,913.23
427,0.7867,0.9264,5.3521e+07,915.42
428,0.7867,0.9264,5.3520e+07,917.59
429,0.7867,0.9264,5.3520e+07,919.76
430,0.7867,0.9264,5.3520e+07,921.92
431,0.7867,0.9264,5.3519e+07,924.01
432,0.7867,0.9264,5.3519e+07,926.19
433,0.7867,0.9264,5.3519e+07,928.36
434,0.7867,0.9265,5.3519e+07,930.53
435,0.7866,0.9264,5.3519e+07,932.70
436,0.7866,0.9264,5.3519e+07,934.88
437,0.7866,0.9264,5.3519e+07,937.05
438,0.7866,0.9264,5.3518e+07,939.22
439,0.7866,0.9264,5.3518e+07,941.39
440,0.7866,0.9264,5.3518e+07,943.56
441,0.7866,0.9264,5.3518e+07,945.74
442,0.7866,0.9264,5.3518e+07,947.90
443,0.7866,0.9264,5.3517e+07,950.07
444,0.7866,0.9265,5.3517e+07,952.24
445,0.7865,0.9264,5.3517e+07,954.41
446,0.7865,0.9264,5.3517e+07,956.51
447,0.7865,0.9264,5.3517e+07,958.61
448,0.7865,0.9264,5.3517e+07,960.71
449,0.7865,0.9264,5.3517e+07,962.81
450,0.7865,0.9264,5.3517e+07,964.91
451,0.7865,0.9265,5.3516e+07,967.02
452,0.7865,0.9264,5.3516e+07,969.27
453,0.7864,0.9264,5.3516e+07,971.54
454,0.7864,0.9265,5.3516e+07,973.82
455,0.7864,0.9264,5.3515e+07,976.08
456,0.7864,0.9264,5.3515e+07,978.34
457,0.7864,0.9264,5.3515e+07,980.57
458,0.7864,0.9264,5.3515e+07,982.74
459,0.7864,0.9264,5.3515e+07,984.92
460,0.7864,0.9264,5.3515e+07,987.09
461,0.7864,0.9264,5.3515e+07,989.26
462,0.7864,0.9264,5.3515e+07,991.44
463,0.7864,0.9264,5.3514e+07,993.62
464,0.7863,0.9264,5.3514e+07,995.80
465,0.7863,0.9264,5.3514e+07,997.98
466,0.7863,0.9264,5.3514e+07,1000.15
467,0.7863,0.9264,5.3514e+07,1002.32
468,0.7863,0.9264,5.3514e+07,1005.04
469,0.7863,0.9264,5.3513e+07,1007.74
470,0.7863,0.9265,5.3513e+07,1010.30
471,0.7863,0.9265,5.3513e+07,1012.85
472,0.7863,0.9264,5.3513e+07,1015.41
473,0.7862,0.9264,5.3513e+07,1017.97
474,0.7862,0.9264,5.3512e+07,1020.53
475,0.7862,0.9265,5.3513e+07,1023.10
476,0.7862,0.9264,5.3512e+07,1025.45
477,0.7862,0.9264,5.3512e+07,1027.72
478,0.7862,0.9264,5.3512e+07,1029.98
479,0.7862,0.9264,5.3512e+07,1032.25
480,0.7862,0.9265,5.3512e+07,1034.52
481,0.7862,0.9264,5.3512e+07,1037.23
482,0.7862,0.9264,5.3511e+07,1039.93
483,0.7862,0.9264,5.3511e+07,1042.64
484,0.7862,0.9265,5.3511e+07,1045.33
485,0.7861,0.9265,5.3511e+07,1047.96
486,0.7861,0.9264,5.3511e+07,1050.60
487,0.7861,0.9264,5.3511e+07,1053.23
488,0.7861,0.9264,5.3510e+07,1055.86
489,0.7861,0.9265,5.3510e+07,1058.48
490,0.7861,0.9265,5.3510e+07,1061.11
491,0.7861,0.9265,5.3510e+07,1063.69
492,0.7861,0.9265,5.3510e+07,1066.25
493,0.7861,0.9265,5.3510e+07,1068.80
494,0.7861,0.9265,5.3509e+07,1071.35
495,0.7861,0.9265,5.3510e+07,1073.92
496,0.7861,0.9265,5.3509e+07,1076.47
497,0.7860,0.9265,5.3509e+07,1079.02
498,0.7860,0.9265,5.3509e+07,1081.57
499,0.7860,0.9265,5.3509e+07,1084.12
500,0.7860,0.9265,5.3509e+07,1086.67
501,0.7860,0.9265,5.3509e+07,1089.22
502,0.7860,0.9265,5.3509e+07,1091.78
503,0.7860,0.9265,5.3509e+07,1094.36
504,0.7860,0.9264,5.3509e+07,1096.91
505,0.7860,0.9265,5.3508e+07,1099.47
506,0.7860,0.9265,5.3508e+07,1102.03
507,0.7860,0.9265,5.3508e+07,1104.59
508,0.7860,0.9265,5.3508e+07,1107.15
509,0.7859,0.9265,5.3508e+07,1109.71
510,0.7859,0.9265,5.3508e+07,1112.27
511,0.7859,0.9265,5.3507e+07,1114.82
512,0.7859,0.9265,5.3508e+07,1117.38
513,0.7859,0.9265,5.3507e+07,1119.93
514,0.7859,0.9265,5.3507e+07,1122.49
515,0.7859,0.9265,5.3507e+07,1124.74
516,0.7859,0.9265,5.3507e+07,1127.01
517,0.7859,0.9265,5.3507e+07,1129.25
518,0.7859,0.9265,5.3507e+07,1131.51
519,0.7859,0.9265,5.3507e+07,1133.79
520,0.7859,0.9265,5.3507e+07,1136.04
521,0.7859,0.9265,5.3507e+07,1138.33
522,0.7858,0.9265,5.3507e+07,1140.58
523,0.7858,0.9265,5.3507e+07,1142.70
524,0.7858,0.9265,5.3506e+07,1144.80
525,0.7858,0.9265,5.3506e+07,1146.89
526,0.7858,0.9265,5.3506e+07,1148.99
527,0.7858,0.9265,5.3506e+07,1151.08
528,0.7858,0.9265,5.3505e+07,1153.15
529,0.7858,0.9265,5.3505e+07,1155.22
530,0.7858,0.9265,5.3506e+07,1157.31
531,0.7858,0.9265,5.3505e+07,1159.39
532,0.7858,0.9265,5.3505e+07,1161.46
533,0.7858,0.9265,5.3505e+07,1163.54
534,0.7858,0.9265,5.3505e+07,1165.61
535,0.7857,0.9265,5.3505e+07,1167.68
536,0.7857,0.9265,5.3505e+07,1169.76
537,0.7857,0.9265,5.3505e+07,1171.83
538,0.7858,0.9265,5.3504e+07,1173.90
539,0.7857,0.9265,5.3504e+07,1175.98
540,0.7857,0.9265,5.3504e+07,1178.05
541,0.7857,0.9265,5.3504e+07,1180.13
