iter,tr_rmse,va_rmse,obj,time
419,1.0336,1.0408,1.8916e+06,25.96
420,1.0336,1.0408,1.8916e+06,26.03
421,1.0338,1.0407,1.8916e+06,26.11
422,1.0335,1.0408,1.8916e+06,26.18
423,1.0338,1.0404,1.8916e+06,26.24
424,1.0337,1.0407,1.8916e+06,26.30
425,1.0336,1.0406,1.8916e+06,26.37
426,1.0336,1.0407,1.8916e+06,26.44
427,1.0336,1.0408,1.8916e+06,26.51
428,1.0335,1.0408,1.8916e+06,26.58
429,1.0336,1.0409,1.8916e+06,26.65
430,1.0338,1.0403,1.8916e+06,26.73
431,1.0334,1.0408,1.8916e+06,26.78
432,1.0334,1.0410,1.8916e+06,26.86
433,1.0339,1.0405,1.8916e+06,26.94
434,1.0336,1.0406,1.8916e+06,27.01
435,1.0336,1.0410,1.8916e+06,27.08
436,1.0336,1.0408,1.8916e+06,27.15
437,1.0335,1.0414,1.8916e+06,27.23
438,1.0336,1.0409,1.8916e+06,27.30
439,1.0337,1.0405,1.8916e+06,27.37
440,1.0336,1.0407,1.8916e+06,27.42
441,1.0336,1.0411,1.8916e+06,27.49
442,1.0337,1.0407,1.8916e+06,27.58
443,1.0336,1.0406,1.8916e+06,27.66
444,1.0336,1.0408,1.8916e+06,27.71
445,1.0334,1.0408,1.8916e+06,27.80
446,1.0337,1.0407,1.8916e+06,27.88
447,1.0335,1.0407,1.8916e+06,27.95
448,1.0336,1.0409,1.8916e+06,28.02
449,1.0335,1.0413,1.8916e+06,28.09
450,1.0339,1.0406,1.8916e+06,28.14
451,1.0335,1.0408,1.8916e+06,28.21
452,1.0336,1.0407,1.8916e+06,28.26
453,1.0336,1.0405,1.8916e+06,28.33
454,1.0337,1.0406,1.8916e+06,28.41
455,1.0336,1.0406,1.8916e+06,28.46
456,1.0335,1.0407,1.8916e+06,28.52
457,1.0336,1.0408,1.8916e+06,28.58
458,1.0337,1.0405,1.8916e+06,28.64
459,1.0336,1.0408,1.8916e+06,28.71
460,1.0335,1.0405,1.8916e+06,28.78
461,1.0335,1.0409,1.8916e+06,28.86
462,1.0336,1.0406,1.8916e+06,28.93
463,1.0335,1.0409,1.8916e+06,28.99
